PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39687219","Early Warning of Axillary Lymph Node Metastasis in Breast Cancer Patients Using Multi-Omics Signature: A Machine Learning-Based Retrospective Study","Ke Z, Shen L, Shao J.","Int J Gen Med. 2024 Dec 12;17:6101-6114. doi: 10.2147/IJGM.S499238. eCollection 2024.","Ke Z","Int J Gen Med","2024","2024/12/17","PMC11648545","","10.2147/IJGM.S499238"
"41070226","Identifying metabolism-related genes in liver cancer through weighted gene co-expression network analysis and machine learning","Wang T, Lai Z, Tang S, Lin L, Zhang M.","Front Genet. 2025 Sep 24;16:1654459. doi: 10.3389/fgene.2025.1654459. eCollection 2025.","Wang T","Front Genet","2025","2025/10/10","PMC12504094","","10.3389/fgene.2025.1654459"
"36781109","A nomogram for predicting survival in Patients with oral tongue keratinized squamous cell carcinoma: A SEER-based study","Qin Z, Hu Z, Lai M, Wang F, Liu X, Yin L.","J Stomatol Oral Maxillofac Surg. 2023 Sep;124(4):101422. doi: 10.1016/j.jormas.2023.101422. Epub 2023 Feb 11.","Qin Z","J Stomatol Oral Maxillofac Surg","2023","2023/02/13","","","10.1016/j.jormas.2023.101422"
"36086716","Identification and validation of the necroptosis-related gene signature related to prognosis and tumor immune in hepatocellular carcinoma","Xiang Z, Mranda GM, Zhou X, Xue Y, Wang Y, Wei T, Liu J, Ding Y.","Medicine (Baltimore). 2022 Sep 9;101(36):e30219. doi: 10.1097/MD.0000000000030219.","Xiang Z","Medicine (Baltimore)","2022","2022/09/10","PMC10980426","","10.1097/MD.0000000000030219"
"36063494","Preparedness of the Brazilian health-care system to provide access to a disease-modifying Alzheimer's disease treatment","Mattke S, Corrêa Dos Santos Filho O, Hanson M, Mateus EF, Neto JPR, de Souza LC, Rizek Schultz R, Pereira Pinto R.","Alzheimers Dement. 2023 Jan;19(1):375-381. doi: 10.1002/alz.12778. Epub 2022 Sep 5.","Mattke S","Alzheimers Dement","2023","2022/09/05","PMC10087834","","10.1002/alz.12778"
"37587418","Novel nomogram to predict the overall survival of postoperative patients with gastric signet","Liu D, Ding R, Wang L, Shi E, Li X, Zhang C, Zhang Y, Wang X.","BMC Gastroenterol. 2023 Aug 16;23(1):284. doi: 10.1186/s12876-023-02915-z.","Liu D","BMC Gastroenterol","2023","2023/08/16","PMC10429074","","10.1186/s12876-023-02915-z"
"35689440","Development and validation of postoperative and preoperative platelets ratio (PPR) to predict the prognosis of patients undergoing surgery for colorectal cancer: A dual-center retrospective cohort study","Yang W, Zheng X, Wu M, Zhang F, Xu S, Wang X, Song M, You C, Zhang T, Jiang M, Ding C.","Cancer Med. 2023 Jan;12(1):111-121. doi: 10.1002/cam4.4930. Epub 2022 Jun 11.","Yang W","Cancer Med","2023","2022/06/11","PMC9844599","","10.1002/cam4.4930"
"41025318","Predicting Waiting Times for Medical Tasks in a Pediatric Hospital Using Machine Learning: Comprehensive, Retrospective, Real-World Study","Guo LL, Tang R, Wang JY, Zheng S, Zeng Y, Hou J, Dong MC, Li J, Cui Y.","JMIR Med Inform. 2025 Sep 29;13:e77297. doi: 10.2196/77297.","Guo LL","JMIR Med Inform","2025","2025/09/30","PMC12481172","","10.2196/77297"
"41313968","Using artificial intelligence to predict patient wait times in the emergency department: A scoping review","Gloyn T, Seo C, Godinho A, Rahul R, Phadke S, Fotheringham H, Wegier P.","Artif Intell Med. 2026 Jan;171:103316. doi: 10.1016/j.artmed.2025.103316. Epub 2025 Nov 25.","Gloyn T","Artif Intell Med","2026","2025/11/28","","","10.1016/j.artmed.2025.103316"
"40880770","The disease burden of ILD at the global, regional, and national levels from 1990 to 2021, and projections until 2035: the 2021 Global Burden of Disease study","Zhang L, Zhang J, Guo Y, Yan J.","Front Med (Lausanne). 2025 Aug 13;12:1637654. doi: 10.3389/fmed.2025.1637654. eCollection 2025.","Zhang L","Front Med (Lausanne)","2025","2025/08/29","PMC12381950","","10.3389/fmed.2025.1637654"
